Module	Class	Method	UTCID	Test Case (test method name)	Precondition	Input	Expected Result	Exception	Case Type (N/A/B)	Status	Exec Date	Defect ID	Created By	Executed By
AI Assistant	ScopeGuardrailService	checkScope	UTC01	checkScopeShouldSkipEmbeddingCheckForVeryShortMessages	—	userMessage='hi' (< 8 chars)	ScopeCheckResult{inScope=true, similarity=1.0}; generateEmbedding never called	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	ScopeGuardrailService	checkScope	UTC02	checkScopeShouldReturnInScopeWhenSimilarityAboveThreshold	threshold=0.7; both embeddings identical vector	userMessage='What is present perfect tense?'	ScopeCheckResult{inScope=true, similarity=1.0}	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	ScopeGuardrailService	checkScope	UTC03	checkScopeShouldReturnOutOfScopeWhenSimilarityBelowThreshold	threshold=0.7; embeddings orthogonal (similarity=0)	userMessage='What's the weather today?'	ScopeCheckResult{inScope=false}	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	ScopeGuardrailService	checkScope	UTC04	checkScopeShouldFallBackToInScopeWhenEmbeddingCallThrows	geminiClientService.generateEmbedding() throws RuntimeException	—	ScopeCheckResult{inScope=true, similarity=1.0} — fails open so Gemini chat itself can decline gracefully rather than hard-blocking on an API error	None (internally caught)	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	ScopeGuardrailService	checkScope	UTC05	checkScopeShouldIncludePracticeQuestionTextInScopeEmbeddingInput	1 practice question with distinctive question text	—	the text passed to generateEmbedding() for the 'scope' side contains the practice question's text	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	ScopeGuardrailService	checkScope	UTC06	checkScopeTwoArgOverloadShouldUseEmptyPracticeQuestionsList	—	2-arg overload call	behaves same as passing an empty practiceQuestions list	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	ScopeGuardrailService	checkScope	UTC07	checkScopeShouldTreatSimilarityExactlyAtThresholdAsInScope	threshold=1.0; similarity computes to exactly 1.0	—	ScopeCheckResult{inScope=true} — boundary uses >= not >	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	LessonEmbeddingService	getOrComputeEmbedding	UTC01	getOrComputeEmbeddingShouldReturnCachedVectorWithoutCallingGeminiWhenEmbeddingAlreadyExists	Lesson.contentEmbedding already set (non-blank JSON)	—	returns parsed cached vector; geminiClientService.generateEmbedding() never called	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	LessonEmbeddingService	getOrComputeEmbedding	UTC02	getOrComputeEmbeddingShouldComputeAndCacheWhenEmbeddingBlank	Lesson.contentEmbedding='  ' (blank, not null)	—	computes new embedding via Gemini, lessonRepository.save() called	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	LessonEmbeddingService	getOrComputeEmbedding	UTC03	getOrComputeEmbeddingShouldComputeWhenEmbeddingNull	Lesson.contentEmbedding=null	—	geminiClientService.generateEmbedding() called with lesson.contentText	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	LessonEmbeddingService	recomputeEmbedding	UTC04	recomputeEmbeddingShouldOverwriteExistingEmbeddingAndPersist	Lesson.contentEmbedding already has an old cached vector	—	old embedding overwritten with newly computed vector; lessonRepository.save() called	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC01	sendMessageShouldThrowUnauthorizedWhenLearnerIdNull	—	learnerId=null	Error	ApiException 401: 'Người dùng chưa đăng nhập hoặc Token không hợp lệ'	A	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC02	sendMessageShouldThrowNotFoundWhenLessonMissing	no Lesson row	lessonId=1	Error	ApiException 404: 'Không tìm thấy bài học này'	A	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC03	sendMessageShouldThrowNotFoundWhenLearnerMissingDuringNewConversationCreation	Lesson exists; no User row	conversationId=null (forces new conversation)	Error	ApiException 404: 'Không tìm thấy người dùng'	A	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC04	sendMessageShouldCreateNewConversationWhenConversationIdNull	—	conversationId=null	new ai_conversations row created; response.conversationId = new id	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC05	sendMessageShouldReuseExistingConversationWhenValidConversationIdProvided	conversation id=10 exists for this learner	conversationId=10	existing conversation reused; userRepository.findById() never called (no need to look up learner again)	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC06	sendMessageShouldFallBackToNewConversationWhenConversationIdNotFound	conversationId=99 not found for this learner	conversationId=99	falls back to creating a brand-new conversation instead of erroring	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC07	sendMessageShouldFallBackToNewConversationWhenRepositoryLookupThrows	conversationRepository.findByIdAndLearnerIdWithMessages() throws RuntimeException	conversationId=10	falls back to creating a brand-new conversation instead of propagating the DB error	None (internally caught)	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC08	sendMessageShouldTreatZeroConversationIdAsNewConversation	—	conversationId=0	treated same as null — creates new conversation, never queries by id	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC09	sendMessageShouldUseOutOfScopeFallbackAndSkipGeminiChatWhenOutOfScope	scopeGuardrailService.checkScope() returns inScope=false	message='What's the weather today?'	response{wasOutOfScope=true, reply=<fallback text>, suggestedQuestions=[]}; geminiClientService.generateChatResponse() never called for the chat reply	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC10	sendMessageShouldCallGeminiWithBuiltPromptWhenInScope	scopeGuardrailService.checkScope() returns inScope=true	message='Explain present perfect.'	response{wasOutOfScope=false, reply=<Gemini's answer>}; geminiClientService.generateChatResponse() called with promptBuilder's system prompt	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC11	sendMessageShouldExcludePreviouslyOutOfScopeMessagesFromGeminiHistory	conversation has 1 old out-of-scope USER message + 1 in-scope ASSISTANT message	new in-scope message	Gemini chat history sent = [old ASSISTANT message mapped to role='model', new USER message] — the blocked message is dropped entirely	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC12	sendMessageShouldSaveBothUserAndAssistantMessagesToConversation	—	in-scope message	conversation.messages grows by 2 (USER then ASSISTANT, in that order); conversationRepository.save() called	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC13	sendMessageShouldParseSuggestedQuestionsFromGeminiJsonResponse	suggestion-generation call returns {"suggestedQuestions":["Q1?","Q2?","Q3?"]}	—	response.suggestedQuestions=['Q1?','Q2?','Q3?']	None	N	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC14	sendMessageShouldCapSuggestedQuestionsAtThreeWhenGeminiReturnsMore	suggestion call returns 5 questions	—	response.suggestedQuestions.size()=3 (extras truncated)	None	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	sendMessage	UTC15	sendMessageShouldReturnEmptySuggestedQuestionsWhenSuggestionCallThrows	suggestion-generation call throws RuntimeException	—	main reply still returned successfully; response.suggestedQuestions=[] — the suggestion feature failing does NOT fail the whole chat turn	None (internally caught)	B	Passed	2026-07-19		DucPM	DucPM
AI Assistant	AIAssistantService	getConversationHistory	UTC16	getConversationHistoryShouldDelegateToRepository	—	learnerId=1	delegates directly to conversationRepository.findByLearnerIdOrderByStartedAtDesc(1)	None	N	Passed	2026-07-19		DucPM	DucPM

Note: GeminiClientService (checkAvailability/generateChatResponse/generateEmbedding) intentionally NOT unit tested — it builds its own internal WebClient via @PostConstruct with no injectable seam, and every method makes a real reactive HTTP call chain (WebClient.post().retrieve().bodyToMono().retryWhen().timeout().block()) to the live Gemini API. This is the documented mocking boundary for the whole AI module (unit_test_plan.md row 60): every other AI-module class takes GeminiClientService as a constructor-injected dependency and mocks it directly, which is what all 5 test files in this round do. Testing GeminiClientService itself would require WireMock/MockWebServer-style HTTP stubbing, a meaningfully different (integration-style) test setup — out of scope for this Service-only unit-testing round.
Note: buildContext/retrieveRelevantChunks (unit_test_plan.md row 60b) confirmed NOT to exist as separate methods after reading AIAssistantService.sendMessage in full — there is no RAG-style chunk-retrieval step; the entire "context" fed to the AI is just the Lesson's content text + practice questions, embedded directly into the prompt/scope-check text by ScopeGuardrailService and AIPromptBuilder. Row 60b's uncertainty is now resolved, not just guessed.
Note: Controller layer (AIAssistantController) intentionally not tested per tester instruction 2026-07-17 to focus unit testing on the Service layer only.
