Workflow,Trainer Revenue- Monthly Statement & Settlement Flow
Test requirement,Verify the complete end-to-end revenue journey through the actual UI: course-sale revenue split by Trainer type, on-demand Monthly Statement generation by the Course Manager, Trainer confirmation of the figures, manual bank-transfer settlement, and the separation-of-duties boundary keeping payout figures out of the Administrator's own dashboard.
Number of TCs,14
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,14,0
Round 2,0,0,14,0
Round 3,0,0,14,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
SYS_FLOW_REV_TC08,"The Trainer has no way to directly edit the statement's figures - only confirm.","1. On the same statement detail screen, look for any way to modify the listed amount/line items.","No edit control exists for the Trainer on a generated statement - the confirm action only accepts the figures as computed; disputing a wrong figure would need to go through the Course Manager/Admin out-of-band, not a self-service edit.","A generated statement exists for this Trainer.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_REV_TC09,"A different Trainer cannot view or confirm another Trainer's statement.","1. Log in as Trainer B. 2. Attempt to open/confirm Trainer A's statement (via a guessed/shared statement ID).","Access is blocked - either the statement isn't listed for Trainer B at all, or a direct-ID attempt is rejected with a 403/ownership error.","Trainer A has a generated statement; Trainer B is a different account.",Pending,,,Pending,,,Pending,,,
Settlement,,,,,,,,,,,,,,,
SYS_FLOW_REV_TC10,"Course Manager/Admin settles a confirmed statement by recording a manual bank transfer reference.","1. Log in as TRAINER_LEAD/COURSE_MANAGER or ADMINISTRATOR. 2. Open the confirmed statement from TC07. 3. Tap Settle, enter a bank transfer reference, and confirm.","The statement's status becomes PAID; the entered bank reference is stored and visible on the statement detail.","The statement from TC07 is confirmed by the Trainer.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_REV_TC11,"Settling a statement notifies the Trainer and updates their statement history.","1. Immediately after TC10, log in as the Trainer and check their notification bell and Statement History list.","The Trainer receives a settlement email and their Statement History now shows this statement as PAID with the bank reference.","Statement was just settled in TC10.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_REV_TC12,"Attempting to settle a statement the Trainer has not yet confirmed is checked for whether it's blocked.","1. Generate a fresh statement (repeat TC04 for a new period) but skip the Trainer-confirm step. 2. As Course Manager/Admin, attempt to Settle it directly.","Document the actual observed behavior - either settlement is blocked until the Trainer confirms first, or it is allowed regardless of confirmation; report which one is true rather than assuming a gate exists.","A freshly generated, unconfirmed statement exists.",Pending,,,Pending,,,Pending,,,
Separation of Duties,,,,,,,,,,,,,,,
SYS_FLOW_REV_TC13,"The Administrator's own dashboard does not surface Trainer revenue/payout figures directly.","1. Log in as ADMINISTRATOR. 2. Open the Admin Dashboard (`/api/admin/dashboard/stats`-backed screen). 3. Look for any revenue/payout totals.","No revenue or per-Trainer payout figures appear on the Admin Dashboard itself; Administrator must go through the same Course Manager Statement screens as a Course Manager to see or act on revenue (BR-G11 separation of duties).","Administrator account logged in.",Pending,,,Pending,,,Pending,,,
End-to-End,,,,,,,,,,,,,,,
SYS_FLOW_REV_TC14,"Full journey: a course sale accrues revenue, a monthly statement is generated, the Trainer confirms it, and it is settled with a bank reference.","1. Complete a paid course purchase for a Trainer's course. 2. Course Manager generates the monthly cutoff covering it. 3. The Trainer confirms the statement. 4. Course Manager/Admin settles it with a bank reference. 5. Trainer checks their Statement History.","Every stage transitions correctly; the Trainer's Statement History ends showing one PAID statement whose amount matches the correct revenue-split percentage for their TrainerType.","Fresh paid-course sale for this journey.",Pending,,,Pending,,,Pending,,,"End-to-end smoke test tying together SYS_FLOW_ENR and SYS_FLOW_REV."
