Workflow,Exam Authoring- Matrix Generation- Review & Taking Flow
Test requirement,Verify the complete end-to-end Exam lifecycle through the actual UI: Trainer/Course Manager authoring (manual, matrix auto-generate, Excel import), the review/publish workflow, and the Learner-side timed exam-taking, submission, scoring, and attempt history experience - including the known answers-echo gap.
Number of TCs,22
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,22,0
Round 2,0,0,22,0
Round 3,0,0,22,0

Test Case ID,Test Case Description,Test Case Procedure,Expected Results,Pre-conditions,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
SYS_FLOW_EXM_TC09,"A Course Manager can author and self-publish their own Exam without needing separate approval.","1. Log in as TRAINER_LEAD/COURSE_MANAGER. 2. Author a complete 40-question Exam. 3. Publish it directly, without a Submit-for-review step blocking Publish.","The Exam becomes published immediately; no second Course Manager approval is required (FR-EXM-01/03 - Course Manager can self-publish).","Course Manager role.",Pending,,,Pending,,,Pending,,,
Learner Takes Exam,,,,,,,,,,,,,,,
SYS_FLOW_EXM_TC10,"Learner browses the public Exam list, which only shows published Exams.","1. Log in as LEARNER (or browse as guest, if public). 2. Open the Exam list.","Only published Exams (from TC07/TC09) appear; Draft/rejected/submitted Exams from other test cases are absent.","At least one published Exam exists; at least one non-published Exam also exists for contrast.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC11,"Learner starts a published Exam and sees the full 40-question set with a server-synced countdown timer.","1. Open a published Exam. 2. Tap Start. 3. Observe the timer and question count.","Exactly 40 questions are presented, single-choice; a 50-minute countdown starts, calculated from the server's `start_time`/`end_time`, not the device clock.","A published Exam exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC12,"Answers are cached locally during the exam so an app crash does not lose progress.","1. Start an Exam attempt and answer 10-15 questions. 2. Force-close/crash the app. 3. Reopen the app and resume the same attempt.","Previously answered questions are restored from local cache (SharedPreferences/local storage) instead of resetting to blank; the countdown continues from the correct remaining time (server-driven).","An in-progress Exam attempt exists.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC13,"Learner submits the Exam before time expires and the server recomputes the score independently of the client.","1. Answer all 40 questions, deliberately getting a known number correct/incorrect. 2. Submit before the timer reaches 0.","The submitted score matches (correct answers x 0.25), on a 0-10 scale, computed server-side from `question_options.is_correct` - not from any score value the client might have sent.","An in-progress Exam attempt with a known-correct answer set.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC14,"When time runs out, the app auto-submits and a submission arriving within 1 minute of the deadline is still accepted.","1. Start an Exam and let the timer run down without manually submitting. 2. Observe the auto-submit trigger right at 0:00 (or simulate a submission request landing a few seconds after the deadline).","The client auto-submits immediately at time-up; a request arriving within the 1-minute grace window past the deadline is still accepted and scored normally.","An in-progress Exam attempt near time expiry.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC15,"A submission arriving more than 1 minute past the deadline is rejected.","1. Simulate/force a submit request sent more than 1 minute after the Exam's `end_time` (e.g. via a delayed manual request for test purposes).","The server rejects the late submission; no score is recorded for that attempt (or it is flagged distinctly from a normal completed attempt) - document the exact rejection behavior observed.","An Exam attempt whose end_time has passed by more than 1 minute.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC16,"Submitting the same Exam attempt twice (double-submit) does not create two scored records for one sitting.","1. Submit an Exam attempt normally. 2. Immediately trigger a second submit for the same attempt (e.g. rapid double-tap or a retried request after a slow network response).","Only one scored attempt is persisted for that sitting; the second submit is rejected/no-op, not a duplicate score entry.","An Exam attempt ready to submit.",Pending,,,Pending,,,Pending,,,
Results & Attempt History,,,,,,,,,,,,,,,
SYS_FLOW_EXM_TC17,"The Result screen shows the correct total score, but check whether per-question correct/incorrect actually renders.","1. Immediately after submitting (TC13), open the Result screen.","The total score (0-10 scale) displays correctly. Separately verify whether the per-question correct/incorrect breakdown and explanations render - document the actual observed outcome (a known gap causes this to show empty even though the score itself is right).","A just-submitted Exam attempt exists.",Pending,,,Pending,,,Pending,,,"GAP-EXM-01 (doc/specs/08-exam-management.md): `mapToAttemptDTO` mis-parses the stored answersJson, so `answers`/`correctness` are expected to come back empty in both the immediate result and Attempt History, while `score` stays correct. Confirm this is still the observed behavior, not a regression to file separately."
SYS_FLOW_EXM_TC18,"Reopening Attempt History for an older attempt shows the same per-question display gap as the immediate result.","1. Open the Exam's Attempt History. 2. Select the attempt from TC17 (or an older one).","The total score for that historical attempt displays correctly; confirm whether the per-question correct/incorrect view is empty in history too, matching TC17's finding (same root cause, same DTO mapping).","At least one completed Exam attempt exists in history.",Pending,,,Pending,,,Pending,,,"Same GAP-EXM-01 root cause as TC17 - record whether both surfaces are consistently affected."
SYS_FLOW_EXM_TC19,"Learner retakes the same Exam an unlimited number of times, with every attempt recorded separately.","1. Take the same published Exam 3 separate times with different answer patterns.","All 3 attempts are recorded independently with their own scores; nothing blocks a retake (BR-G08, unlimited retakes); Attempt History lists all 3.","A published Exam already attempted once.",Pending,,,Pending,,,Pending,,,
Security,,,,,,,,,,,,,,,
SYS_FLOW_EXM_TC20,"While an Exam attempt is in progress, the question payload never exposes which option is correct.","1. Start an Exam attempt. 2. 🔍 Inspect the question-list data the app received for this attempt (e.g. via the browser/dev network tools if on the web build, or an intercepting proxy).","The in-progress question payload contains no `isCorrect`/`is_correct` field or equivalent flag for any option - correctness is only ever revealed after submission via the scored result.","An in-progress Exam attempt.",Pending,,,Pending,,,Pending,,,
SYS_FLOW_EXM_TC21,"A Trainer cannot edit or delete another Trainer's Exam.","1. Log in as Trainer A. 2. Attempt to open Trainer B's Exam in the authoring UI and edit/delete it (via a guessed/shared Exam ID if the UI doesn't list it).","The action is blocked - either the Exam is not shown in Trainer A's own list at all, or the edit/delete API call is rejected with a 403/ownership error.","Two different Trainer accounts each own at least one Exam.",Pending,,,Pending,,,Pending,,,
End-to-End,,,,,,,,,,,,,,,
SYS_FLOW_EXM_TC22,"Full journey: Trainer authors an Exam, Course Manager publishes it, a Learner takes and submits it, and the score is recorded.","1. Trainer authors a 40-question Exam (TC01) and submits it (TC06). 2. Course Manager publishes it (TC07). 3. Learner takes and submits the Exam (TC11-TC13). 4. Confirm the attempt appears in the Learner's history with the correct score.","Every stage transitions correctly end-to-end; the final scored attempt is available for downstream Weakness Analysis / Recommendation (see SYS_FLOW_PWY and SYS_FLOW_AIR flows).","Fresh Exam authored for this journey.",Pending,,,Pending,,,Pending,,,"End-to-end smoke test tying together authoring, review, and taking."
