Module	Class	Method	UTCID	Test Case (test method name)	Precondition	Input	Expected Result	Exception	Case Type (N/A/B)	Status	Exec Date	Defect ID	Created By	Executed By
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC07	createQuestionBankGroupShouldPersistOptionsForEachSubQuestion	1 subQuestion with 2 options	—	questionRepository.save() called twice for the same question (once on create, once after attaching options)	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	createQuestionBankGroup	UTC08	createQuestionBankGroupShouldReturnQuestionIdsInResponse	1 subQuestion saved with generated id=77	—	response.questionIds=[77]	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC01	getQuestionDetailShouldThrowWhenUserNotFound	no User row	email='unknown@example.com'	Error	RuntimeException: 'User not found'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC02	getQuestionDetailGroupShouldThrowWhenGroupNotFound	no QuestionGroup row	id=500, isGroup=true	Error	RuntimeException: 'Question Group not found'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC03	getQuestionDetailGroupShouldThrowWhenNotOwner	group's questions all created_by another user	caller='intruder@example.com'	Error	RuntimeException: 'You do not have permission to view this group'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC04	getQuestionDetailGroupShouldMapPassageAndSubQuestions	group + 1 owned Question	id=500, isGroup=true	CreateGroupQuestionRequestDTO{passageText, status, subQuestions.size=1}	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC05	getQuestionDetailGroupShouldBypassOwnershipCheckWhenGroupHasNoQuestions	QuestionGroup row exists but questionRepository.findByQuestionGroup returns an EMPTY list (e.g. all its questions were previously deleted)	id=500, isGroup=true, caller='intruder@example.com' (not the group's owner)	no exception thrown — the '!questions.isEmpty() && ...' ownership check short-circuits to false when the group has zero questions, so the check is skipped entirely; returned DTO has empty subQuestions and null status	None	B	Passed	2026-07-24	GAP-QB-02	DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC06	getQuestionDetailSingleShouldThrowWhenQuestionNotFound	no Question row	id=10, isGroup=false	Error	RuntimeException: 'Question not found'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC07	getQuestionDetailSingleShouldThrowWhenNotOwner	Question.createdBy != caller	caller='intruder@example.com'	Error	RuntimeException: 'You do not have permission to view this question'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	getQuestionDetail	UTC08	getQuestionDetailSingleShouldMapFields	Question owned by caller	id=10, isGroup=false	CreateGroupQuestionRequestDTO{status='PRIVATE', subQuestions=[{questionText='Q1'}]}	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC01	updateQuestionBankGroupShouldThrowWhenUserNotFound	no User row	email='unknown@example.com'	Error	RuntimeException: 'User not found with email: ...'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC02	updateQuestionBankGroupGroupShouldThrowWhenGroupNotFound	no QuestionGroup row	id=500, isGroup=true	Error	RuntimeException: 'Question Group not found'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC03	updateQuestionBankGroupGroupShouldThrowWhenNotOwner	old questions in group created_by another user	caller='intruder@example.com'	Error	RuntimeException: 'No permission'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC04	updateQuestionBankGroupGroupShouldDeleteOldQuestionsAndRecreate	group + 1 old owned Question	passageText='Updated passage', 1 new subQuestion	question_groups.contextText updated; ALL old questions in the group deleted (questionRepository.deleteAll), then new questions inserted from scratch — full replace, not a diff/merge	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC05	updateQuestionBankGroupGroupShouldBypassOwnershipCheckWhenGroupHasNoQuestions	QuestionGroup row exists but questionRepository.findByQuestionGroup returns an EMPTY list	id=500, isGroup=true, caller='intruder@example.com' (not the group's owner), new passageText='Hijacked passage'	no exception thrown — same ownership-check short-circuit as getQuestionDetail; the intruder successfully overwrites the group's passage text and inserts a brand-new question into it	None	B	Passed	2026-07-24	GAP-QB-02	DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC06	updateQuestionBankGroupSingleShouldThrowWhenQuestionNotFound	no Question row	id=10, isGroup=false	Error	RuntimeException: 'Question not found'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC07	updateQuestionBankGroupSingleShouldThrowWhenNotOwner	Question.createdBy != caller	caller='intruder@example.com'	Error	RuntimeException: 'No permission'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionBankGroup	UTC08	updateQuestionBankGroupSingleShouldDeleteOldAndRecreate	Question owned by caller	1 new subQuestion	old Question row deleted, new Question row inserted (delete+recreate, same pattern as group mode)	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionStatus	UTC01	updateQuestionStatusGroupShouldThrowWhenGroupNotFound	no QuestionGroup row	questionId=500, isGroup=true	Error	RuntimeException: 'Group not found'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionStatus	UTC02	updateQuestionStatusGroupShouldThrowWhenAnyQuestionNotOwnedByCaller	group's question created_by another user	caller='intruder@example.com'	Error	RuntimeException: 'You do not have permission to update this question'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionStatus	UTC03	updateQuestionStatusGroupShouldUpdateAllQuestionsInGroup	group has 2 owned Questions	status='PUBLIC'	both questions row updated: status='PUBLIC' (2 save calls)	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionStatus	UTC04	updateQuestionStatusGroupShouldDoNothingWhenGroupHasNoQuestions	QuestionGroup row exists but questionRepository.findByQuestionGroup returns an EMPTY list	questionId=500, isGroup=true	no exception, no save calls — the for-loop over an empty list is a safe no-op (unlike getQuestionDetail/updateQuestionBankGroup, there is no data to leak or overwrite here)	None	B	Passed	2026-07-24		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionStatus	UTC05	updateQuestionStatusSingleShouldThrowWhenQuestionNotFound	no Question row	questionId=10, isGroup=false	Error	RuntimeException: 'Question not found'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionStatus	UTC06	updateQuestionStatusSingleShouldThrowWhenNotOwner	Question.createdBy != caller	caller='intruder@example.com'	Error	RuntimeException: 'You do not have permission to update this question'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionServiceImpl	updateQuestionStatus	UTC07	updateQuestionStatusSingleShouldUpdateStatus	Question owned by caller	status='PUBLIC'	questions row updated: status='PUBLIC'	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC01	generatePayloadShouldThrowWhenRequestNull	—	request=null	Error	ApiException 400: 'request is required'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC02	generatePayloadShouldThrowWhenModeBlank	—	mode='  '	Error	ApiException 400: 'mode is required'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC03	generatePayloadShouldThrowWhenTopicSeedBlank	—	topicSeed='  '	Error	ApiException 400: 'topicSeed is required'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC04	generatePayloadShouldDefaultQuantityToOneWhenNullOrNonPositive	—	quantity=-5	prompt sent to Gemini says 'Generate exactly 1 questions' (negative/non-positive quantity clamped to 1)	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC05	generatePayloadShouldStripMarkdownJsonCodeFenceFromAiResponse	Gemini response wrapped in ```json ... ``` fences	—	CreateTrainerQuestionAIResponseDTO{mode='SINGLE'} parsed successfully after fence stripped	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC06	generatePayloadShouldThrowBadGatewayWhenAiReturnsInvalidJson	Gemini returns 'not json at all'	—	Error	ApiException 502: 'AI returned invalid JSON payload'	A	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC07	generatePayloadShouldParseSingleModeQuestionsWithOptions	Gemini returns valid SINGLE-mode JSON with 1 question + 2 options	mode='SINGLE'	response.questions[0]{questionText='2+2?', options.size=2}	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC08	generatePayloadShouldParseMultipleModeGroupWithSubQuestions	Gemini returns valid MULTIPLE-mode JSON with 1 subQuestion	mode='MULTIPLE'	response.group{passageText, subQuestions.size=1}	None	N	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC09	generatePayloadShouldSendNullCategoryAndDifficultyToPromptWhenNotProvidedDespiteComputingFallbackDefaults	request.categoryId=null, difficultyId=null	—	prompt sent to Gemini contains 'CATEGORY_ID(DEFAULT): null' and 'DIFFICULTY_ID(DEFAULT): null' — NOT the computed fallback (1L/14L)	None	B	Passed	2026-07-19	GAP-QB-01	DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC10	generatePayloadShouldUppercaseModeCaseInsensitively	—	mode='single' (lowercase)	prompt built using the 'SINGLE' question schema (mode normalized to uppercase before dispatch)	None	B	Passed	2026-07-19		DucPM	DucPM
Question Bank	TrainerQuestionAIService	generatePayload	UTC11	generatePayloadShouldTreatUnknownModeAsMultipleModeBranch	—	mode='BOGUS' (not SINGLE or MULTIPLE)	prompt sent to Gemini uses the MULTIPLE/reading-comprehension schema — mode is only validated for blank, not for a known enum value, so any non-SINGLE string silently falls through to the MULTIPLE branch	None	B	Passed	2026-07-24		DucPM	DucPM

Note (GAP-QB-01): TrainerQuestionAIService.generatePayload computes `categoryId`/`difficultyId` local fallback variables (defaulting to 1L/14L when the request doesn't provide them) but never actually uses them — buildSystemPrompt(mode, quantity) doesn't take them as parameters, and buildUserInput(req) reads req.getCategoryId()/req.getDifficultyId() directly (the raw, possibly-null request fields), not the computed fallback locals. Net effect: when a Trainer omits categoryId/difficultyId when asking the AI to generate a question, the prompt sent to Gemini literally says "CATEGORY_ID(DEFAULT): null" instead of a real default — the intended fallback behavior is dead code. Looks like an unfinished feature, not deliberate. Not fixed this round; test asserts the actual (gap) behavior per code-first principle. Re-verified 2026-07-24, still reproduces.
Note (GAP-QB-02, new 2026-07-24): TrainerQuestionServiceImpl.getQuestionDetail and .updateQuestionBankGroup (isGroup=true branch) derive ownership entirely from the group's child Questions via `!questions.isEmpty() && !questions.get(0).getCreatedBy().getId().equals(user.getId())`. When a QuestionGroup exists but currently has zero linked Question rows, `!questions.isEmpty()` short-circuits to false and the ownership check is skipped entirely — any authenticated trainer can view (getQuestionDetail) or overwrite the passage text and inject new questions into (updateQuestionBankGroup) another trainer's empty group without being its owner. Likely an unintentional oversight (ownership should probably be stored on QuestionGroup itself rather than derived from its children). Not fixed this round; tests assert current (buggy) behavior per code-first principle.
Note: SectionQuestionController.java has a pre-existing Controller-layer test (SectionQuestionControllerTest.java, teammate-authored) — left untouched per standing policy (don't rewrite other people's already-passing tests) and not re-tested at Service level since SectionQuestionController has no separate Service class of its own; out of scope for this QUESTION BANK round, which focused on TrainerQuestionServiceImpl/TrainerQuestionAIService.
Note: Controller layer (TrainerQuestionController, TrainerQuestionAIController) intentionally not tested per tester instruction 2026-07-17 to focus unit testing on the Service layer only.
