Feature,RBAC / Account Management
Test requirement,Functional integration tests for RBAC / Account Management (AdminController)
Number of TCs,18
Testing Round,Passed,Failed,Pending,N/A
Round 1,0,0,18,0
Round 2,0,0,18,0
Round 3,0,0,18,0

Test Case ID,Description,Procedure,Expected Result,Pre-conditions,DevTools Evidence,Case Type,Round 1 Status,Round 1 Date,Round 1 Tester,Round 2 Status,Round 2 Date,Round 2 Tester,Round 3 Status,Round 3 Date,Round 3 Tester,Note
Update Account Status,,,,,,,,,,,,,,,,
RBAC_IT12,"Toggle a user's status between ACTIVE and INACTIVE via the dedicated endpoint succeeds","1. PUT /api/admin/users/{id}/status?status=INACTIVE. 2. GET /api/admin/users/{id} to confirm.","200 OK {""success"":true,...}; user's status becomes INACTIVE.","Target user exists, status currently ACTIVE, acting admin ≠ target.","No.",N,Pending,,,Pending,,,Pending,,,
RBAC_IT13,"Self-lock is rejected on the dedicated status endpoint too","1. Log in as Admin X. 2. PUT /api/admin/users/{Admin X's own id}/status?status=INACTIVE.","400 Bad Request — self-lock guard.","Logged in as ADMINISTRATOR, own id.","No.",A,Pending,,,Pending,,,Pending,,,
RBAC_IT14,"A non-whitelisted status value is rejected on the dedicated endpoint","1. PUT /api/admin/users/{id}/status?status=BANNED.","400 Bad Request; status unchanged.","Target user exists.","No.",A,Pending,,,Pending,,,Pending,,,
Audit Log,,,,,,,,,,,,,,,,
RBAC_IT15,"View audit log shows entries after create/update account actions, scoped to RBAC only","1. Perform RBAC_IT07/RBAC_IT09. 2. GET /api/admin/audit-log?limit=50.","200 OK; list includes the actorName/actionType/targetUserId/details/createdAt rows for those two actions.","At least one create/update action already performed this session.","No.",N,Pending,,,Pending,,,Pending,,,"Audit log is deliberately scoped to user-management actions only — do not expect rows from Course/Exam/Payment approve/publish actions here (unit_test_plan.md row 25)."
AI Usage Stats,,,,,,,,,,,,,,,,
RBAC_IT16,"View AI usage stats succeeds for ADMINISTRATOR","1. GET /api/admin/ai-usage.","200 OK; body has totalCalls, successCount, failureCount, chatCalls, embeddingCalls, successRate, weeklyLabels[], weeklyValues[].","Logged in as ADMINISTRATOR; at least one AI Assistant call previously made helps populate non-zero data.","No.",N,Pending,,,Pending,,,Pending,,,
Cross-cutting,,,,,,,,,,,,,,,,
RBAC_IT17,"Every /api/admin/** endpoint rejects a plain LEARNER token","1. Repeat RBAC_IT01/03/05/07/09/12/15/16 with a LEARNER token instead of an admin token. 2. 🔍 Network tab → confirm 403 on every call.","403 Forbidden on all — @PreAuthorize(hasRole('ADMINISTRATOR')) is applied consistently across the whole controller.","Logged in as LEARNER.","Yes — spot-check a couple of endpoints' Network tab responses for consistency.",B,Pending,,,Pending,,,Pending,,,
RBAC_IT18,"AdminController error responses are plain strings, not JSON objects","1. Trigger any error path above (e.g. RBAC_IT06's 404). 2. 🔍 Network tab → Response tab → confirm the body is a bare string, not {\"error\":...}.","Error body is plain text — a client parsing response.error will get undefined here, unlike NotificationController's {\"error\":...} style.","Any error case already triggered.","Yes — confirm raw Content-Type/body shape.",B,Pending,,,Pending,,,Pending,,,
